Zip ; Population;Median Household Income ?
98001 ;31742;$72,540
98002 ;3424;$44,930
98003 ;45632;$45,563
98004 ;31254;$100,344
98005 ;1788;$85,639
98006 ;37059;$111,216
98007 ;25521;$75,264
98008 ;24452;$88,862
98010 ;4789;$71,280
98011 ;30787;$74,975
98012 ;53837;$86,886
98014 ;6902;$97,806
98019 ;10815;$93,004
98020 ;19109;$79,246
98021 ;28593;$95,666
98022 ;21353;$65,864
98023 ;49402;$67,881
98024 ;5988;$99,257
98026 ;36173;$74,071
98027 ;27147;$102,760
98028 ;21232;$88,472
98029 ;26193;$99,519
98030 ;35302;$52,297
98031 ;36953;$65,321
98032 ;35935;$47,030
98033 ;35605;$103,995
98034 ;42335;$81,037
98036 ;3738;$63,118
98037 ;27676;$60,629
98038 ;34076;$93,573
98039 ;308;$182,308
98040 ;23636;$125,651
98042 ;44599;$88,006
98043 ;20358;$61,396
98045 ;14643;$87,470
98047 ;6457;$52,222
98050 ;208;$247,188
98051 ;3402;$78,941
98052 ;6092;$103,086
98053 ;20739;$119,637
98055 ;21532;$63,030
98056 ;33878;$72,420
98057 ;12187;$42,500
98058 ;42764;$81,221
98059 ;36504;$93,486
98065 ;13202;$123,548
98068 ;240;$53,864
98070 ;10447;$72,568
98072 ;22485;$107,009
98074 ;26386;$140,799
98075 ;22483;$149,557
98077 ;14154;$136,833
98087 ;32833;$66,135
98092 ;4061;$71,803
98101 ;10803;$48,337
98102 ;22776;$68,109
98103 ;47559;$76,925
98104 ;13177;$30,461
98105 ;44981;$47,474
98106 ;25023;$53,949
98107 ;22772;$71,597
98108 ;2422;$52,934
98109 ;22401;$81,134
98110 ;23206;$95,976
98112 ;2229;$100,694
98115 ;48558;$88,633
98116 ;2378;$73,667
98117 ;31778;$91,199
98118 ;4444;$53,415
98119 ;23506;$74,661
98121 ;12753;$72,544
98122 ;34054;$55,725
98125 ;3756;$52,353
98126 ;21648;$67,359
98133 ;46227;$52,663
98134 ;850;$42,972
98136 ;15302;$85,040
98144 ;27496;$60,143
98146 ;25722;$56,320
98148 ;10207;$46,737
98155 ;3385;$72,241
98164 ;73;$85,150
98166 ;21187;$65,374
98168 ;33604;$50,054
98177 ;18867;$90,758
98178 ;23866;$59,637
98188 ;24373;$40,656
98198 ;35748;$55,516
98199 ;20548;$83,611
98201 ;2838;$43,121
98203 ;34901;$57,261
98204 ;41337;$43,476
98205 ;11957;$72,639
98208 ;536;$74,580
98220 ;733;$47,216
98221 ;20466;$60,811
98222 ;53;$58,750
98223 ;41037;$66,092
98224 ;261;$32,813
98225 ;47032;$37,189
98226 ;41445;$55,925
98229 ;31522;$59,709
98230 ;1608;$58,277
98232 ;3568;$74,750
98233 ;14429;$54,867
98236 ;584;$61,558
98237 ;4106;$53,013
98239 ;702;$61,429
98240 ;2862;$59,615
98241 ;2173;$39,087
98243 ;406;$63,125
98244 ;2912;$44,911
98245 ;3746;$45,063
98247 ;10458;$59,852
98248 ;22741;$59,369
98249 ;4435;$60,153
98250 ;7771;$61,116
98251 ;4737;$67,012
98252 ;9167;$68,958
98253 ;1776;$63,971
98255 ;196;$27,500
98256 ;510;$41,250
98257 ;4099;$53,650
98258 ;31952;$77,616
98260 ;5516;$63,650
98261 ;2497;$49,052
98262 ;1079;$67,813
98263 ;60;$34,125
98264 ;18096;$59,354
98266 ;4043;$42,847
98267 ;516;$28,125
98270 ;47288;$64,644
98271 ;27806;$65,907
98272 ;29049;$80,113
98273 ;29963;$49,945
98274 ;17051;$57,756
98275 ;20635;$89,942
98276 ;625;$67,454
98277 ;37706;$53,792
98279 ;610;$51,125
98280 ;368;$82,857
98281 ;1323;$50,133
98282 ;15201;$66,890
98283 ;503;$30,298
98284 ;24583;$56,114
98286 ;221;$59,375
98288 ;169;$30,000
98290 ;32942;$76,569
98292 ;21472;$73,511
98294 ;6654;$54,098
98295 ;2448;$61,625
98296 ;29304;$108,793
98297 ;68;$34,583
98303 ;877;$45,694
98304 ;561;$36,701
98305 ;234;$38,333
98310 ;19542;$46,017
98311 ;2668;$68,056
98312 ;31331;$56,036
98314 ;2175;$150,729
98315 ;6355;$45,707
98320 ;1263;$39,911
98321 ;14272;$72,098
98323 ;600;$56,528
98325 ;1657;$58,125
98326 ;759;$13,667
98327 ;9006;$81,329
98328 ;9526;$61,250
98329 ;10581;$68,170
98330 ;167;$7,891
98331 ;6243;$38,054
98332 ;16332;$83,790
98333 ;3556;$95,487
98335 ;25605;$78,044
98336 ;866;$34,205
98337 ;626;$34,299
98338 ;24352;$68,104
98339 ;304;$32,075
98340 ;2639;$65,586
98342 ;1421;$65,875
98345 ;543;$82,532
98346 ;10531;$69,625
98349 ;4415;$52,339
98350 ;448;$40,500
98351 ;987;$53,050
98354 ;7201;$67,485
98355 ;563;$34,544
98356 ;1987;$35,929
98357 ;1631;$35,667
98358 ;1218;$60,647
98359 ;4493;$68,977
98360 ;11914;$76,500
98361 ;1043;$35,208
98362 ;22558;$46,540
98363 ;13927;$48,398
98365 ;4507;$62,143
98366 ;33311;$57,413
98367 ;27616;$73,811
98368 ;14961;$44,085
98370 ;28482;$70,738
98371 ;19748;$66,067
98372 ;2319;$63,121
98373 ;23096;$61,228
98374 ;3857;$76,880
98375 ;28969;$71,132
98376 ;1927;$49,125
98377 ;1768;$29,846
98380 ;5028;$76,458
98381 ;465;$53,409
98382 ;27164;$48,228
98383 ;20816;$62,113
98385 ;395;$70,227
98387 ;44765;$63,994
98388 ;6784;$57,880
98390 ;10558;$54,522
98391 ;4589;$81,918
98392 ;3019;$54,688
98394 ;1525;$49,464
98396 ;613;$67,250
98402 ;6486;$33,299
98403 ;7931;$58,337
98404 ;33462;$43,333
98405 ;23846;$44,787
98406 ;21824;$62,328
98407 ;20415;$65,939
98408 ;18713;$46,439
98409 ;2326;$48,357
98418 ;10234;$47,851
98422 ;20344;$81,761
98424 ;10353;$58,008
98433 ;18416;$48,869
98439 ;5752;$35,590
98443 ;5542;$61,307
98444 ;35392;$39,743
98445 ;30199;$59,135
98446 ;9897;$64,163
98465 ;6544;$46,857
98466 ;26498;$54,010
98467 ;15836;$60,125
98498 ;27272;$56,133
98499 ;30237;$39,046
98501 ;40618;$67,384
98502 ;30299;$62,475
98503 ;36729;$57,198
98506 ;18288;$60,079
98512 ;28627;$66,517
98513 ;33792;$68,651
98516 ;21702;$68,118
98520 ;23809;$42,790
98524 ;3486;$56,852
98526 ;277;$43,750
98527 ;204;$45,625
98528 ;9286;$54,621
98530 ;522;$35,000
98531 ;24054;$38,542
98532 ;23977;$51,685
98533 ;764;$36,033
98535 ;461;$33,507
98536 ;169;$22,750
98537 ;2143;$55,667
98538 ;226;$74,375
98541 ;10178;$45,262
98542 ;459;$58,550
98546 ;3356;$64,053
98547 ;1086;$27,069
98548 ;2389;$32,105
98550 ;11311;$38,726
98552 ;625;$46,750
98555 ;336;$31,760
98557 ;3137;$52,780
98560 ;201;$38,750
98563 ;832;$54,750
98564 ;2395;$45,313
98565 ;516;$60,833
98568 ;2784;$46,538
98569 ;5923;$41,685
98570 ;4161;$43,750
98571 ;293;$58,401
98572 ;775;$47,500
98575 ;153;$47,250
98576 ;4691;$57,073
98577 ;6649;$43,229
98579 ;13494;$58,239
98580 ;1109;$61,516
98581 ;216;$36,042
98582 ;504;$27,262
98583 ;102;$25,729
98584 ;35968;$47,826
98585 ;660;$62,222
98586 ;2029;$33,393
98587 ;896;$29,000
98588 ;2165;$49,306
98589 ;7142;$55,308
98590 ;432;$38,864
98591 ;3569;$49,120
98592 ;1511;$64,524
98593 ;926;$42,031
98595 ;2474;$32,013
98596 ;767;$42,404
98597 ;2184;$53,534
98601 ;2643;$54,688
98602 ;96;$53,250
98603 ;1013;$59,708
98604 ;3484;$66,206
98605 ;1349;$39,167
98606 ;9339;$76,722
98607 ;28944;$83,602
98610 ;282;$39,667
98611 ;10021;$55,021
98612 ;2618;$48,594
98613 ;630;$56,875
98614 ;198;$38,636
98616 ;186;$31,890
98617 ;109;$47,344
98619 ;484;$46,406
98620 ;7114;$41,381
98621 ;540;$33,125
98624 ;1578;$44,489
98625 ;659;$55,625
98626 ;24352;$44,777
98628 ;413;$32,031
98629 ;8479;$74,102
98631 ;3659;$41,214
98632 ;48647;$41,732
98635 ;173;$33,862
98638 ;1365;$51,771
98639 ;964;$48,036
98640 ;3772;$34,035
98642 ;16294;$78,448
98643 ;436;$51,477
98644 ;338;$38,641
98645 ;1193;$54,792
98647 ;247;$26,488
98648 ;2836;$51,471
98649 ;1182;$72,045
98650 ;876;$53,750
98651 ;814;$49,489
98660 ;12345;$43,214
98661 ;4248;$40,599
98662 ;33688;$60,034
98663 ;13566;$53,137
98664 ;21205;$51,489
98665 ;24496;$50,305
98670 ;91;$45,417
98671 ;22633;$67,655
98672 ;5731;$54,655
98673 ;422;$35,893
98674 ;11174;$63,774
98675 ;7335;$59,871
98682 ;56326;$59,325
98683 ;31908;$58,874
98684 ;27442;$57,216
98685 ;26954;$79,265
98686 ;1806;$72,204
98801 ;41526;$50,911
98802 ;28672;$57,872
98811 ;87;$56,607
98812 ;4799;$40,583
98813 ;3189;$37,986
98814 ;345;$34,355
98815 ;7335;$59,735
98816 ;6986;$42,721
98817 ;429;$20,156
98819 ;153;$32,917
98821 ;327;$13,875
98822 ;2093;$45,804
98823 ;10821;$54,651
98824 ;453;$47,928
98826 ;6639;$46,976
98827 ;676;$36,332
98828 ;231;$60,913
98829 ;750;$37,125
98830 ;507;$55,333
98831 ;3446;$44,334
98832 ;263;$61,875
98833 ;190;$68,750
98834 ;200;$48,875
98836 ;1058;$65,462
98837 ;40917;$47,962
98840 ;4652;$45,568
98841 ;8803;$43,972
98843 ;1611;$51,827
98844 ;4483;$35,542
98845 ;233;$44,091
98846 ;1114;$38,814
98847 ;1617;$50,195
98848 ;11991;$45,533
98849 ;1436;$45,114
98850 ;1555;$37,083
98851 ;393;$33,481
98852 ;7;$21,250
98855 ;6415;$39,028
98856 ;2403;$32,744
98857 ;3983;$41,742
98858 ;23;$42,868
98859 ;164;$6,065
98860 ;252;$46,364
98862 ;2147;$62,549
98901 ;298;$35,842
98902 ;46904;$38,142
98903 ;15341;$46,297
98908 ;35926;$58,063
98921 ;1222;$23,179
98922 ;5734;$51,105
98923 ;1053;$53,214
98925 ;578;$52,083
98926 ;30624;$41,614
98930 ;16904;$42,338
98932 ;4986;$43,117
98933 ;1296;$51,083
98934 ;1019;$39,167
98935 ;3305;$38,895
98936 ;5562;$57,068
98937 ;3838;$51,850
98938 ;2593;$66,750
98939 ;93;$26,250
98940 ;572;$59,653
98941 ;947;$56,932
98942 ;16724;$57,583
98943 ;827;$48,083
98944 ;22693;$36,040
98946 ;588;$52,625
98947 ;3036;$42,263
98948 ;13067;$34,002
98950 ;563;$69,886
98951 ;13816;$38,024
98952 ;2293;$35,574
98953 ;7113;$55,721
99001 ;6227;$37,880
99003 ;513;$66,169
99004 ;18234;$41,177
99005 ;8291;$96,689
99006 ;10903;$52,328
99008 ;594;$51,635
99009 ;4055;$51,726
99011 ;3097;$44,920
99012 ;1051;$45,076
99013 ;1811;$45,147
99016 ;12908;$58,608
99017 ;191;$39,821
99018 ;306;$52,045
99019 ;9681;$72,127
99021 ;8897;$57,727
99022 ;9088;$55,587
99023 ;605;$93,750
99025 ;5029;$76,477
99026 ;9888;$70,754
99027 ;6187;$53,263
99029 ;1512;$63,364
99030 ;980;$60,750
99031 ;915;$30,250
99032 ;692;$34,375
99033 ;962;$49,276
99036 ;1255;$86,382
99037 ;12604;$59,758
99039 ;100;$49,000
99040 ;644;$29,271
99101 ;1645;$36,691
99102 ;444;$36,667
99103 ;478;$41,458
99105 ;50;$34,500
99109 ;512;$35,242
99110 ;1589;$37,059
99111 ;4226;$48,835
99113 ;652;$68,167
99114 ;11689;$40,921
99115 ;1309;$45,139
99116 ;1665;$50,134
99117 ;498;$40,938
99118 ;850;$42,344
99119 ;948;$40,833
99121 ;160;$45,938
99122 ;3458;$51,276
99123 ;1209;$60,263
99124 ;317;$44,583
99125 ;504;$44,375
99126 ;105;$49,946
99128 ;368;$75,833
99129 ;829;$31,625
99130 ;725;$46,583
99131 ;153;$41,750
99133 ;1562;$34,432
99134 ;648;$63,750
99135 ;260;$62,083
99136 ;33;$32,500
99137 ;316;$38,636
99138 ;1195;$25,795
99139 ;1424;$47,788
99140 ;409;$24,792
99141 ;5263;$44,243
99143 ;631;$40,357
99144 ;37;$2,499
99146 ;89;$60,521
99147 ;115;$52,500
99148 ;1999;$48,125
99149 ;173;$33,864
99150 ;253;$28,750
99151 ;153;$30,625
99152 ;195;$54,861
99153 ;379;$33,375
99154 ;31;$117,917
99155 ;1129;$22,422
99156 ;8256;$37,309
99157 ;842;$24,306
99158 ;710;$46,806
99159 ;1354;$48,750
99160 ;127;$14,750
99161 ;1422;$57,904
99163 ;32285;$26,116
99166 ;3606;$40,450
99167 ;659;$45,139
99169 ;278;$46,523
99170 ;1;$42,629
99171 ;979;$42,593
99173 ;1595;$35,762
99174 ;61;$36,667
99176 ;197;$53,125
99179 ;603;$64,917
99180 ;103;$40,203
99181 ;185;$31,375
99185 ;1178;$41,964
99201 ;13884;$23,659
99202 ;19814;$34,180
99203 ;20721;$67,367
99204 ;6521;$29,483
99205 ;41347;$45,544
99206 ;3676;$52,057
99207 ;30559;$33,235
99208 ;50686;$54,446
99212 ;19129;$51,687
99216 ;24089;$45,768
99217 ;18241;$49,731
99218 ;15975;$49,521
99223 ;30757;$62,647
99224 ;20531;$57,706
99301 ;74025;$57,533
99320 ;8791;$63,005
99321 ;661;$58,300
99322 ;215;$56,250
99323 ;3451;$75,046
99324 ;9273;$43,639
99326 ;5912;$54,250
99328 ;3753;$39,481
99329 ;192;$50,417
99330 ;806;$46,705
99333 ;38;$26,250
99335 ;245;$40,000
99336 ;49982;$42,043
99337 ;29798;$66,201
99338 ;12914;$93,475
99341 ;786;$57,083
99343 ;3115;$52,384
99344 ;17064;$43,358
99345 ;192;$55,139
99346 ;367;$34,659
99347 ;2315;$51,189
99348 ;1709;$39,865
99349 ;8538;$47,428
99350 ;14387;$57,882
99352 ;28409;$76,336
99353 ;14124;$80,164
99354 ;22653;$61,961
99356 ;285;$26,250
99357 ;4005;$36,573
99359 ;107;$34,712
99360 ;1345;$65,208
99361 ;16;$48,194
99362 ;41952;$47,782
99371 ;364;$53,000
99401 ;237;$62,396
99402 ;1904;$53,438
99403 ;19886;$41,993
